word,sentiment_importance,course_importance,total_importance,category,word_length,is_japanese,rank
もの習,0.0002772204577922,0.0005957677960395,0.0008729882538317,評価特化,3,True,1966
両親,0.0002160738222301,0.0006568487733602,0.0008729225955903,評価特化,2,True,1967
掘り,0.0003319031869371,0.0005408897995948,0.0008727929865319001,評価特化,2,True,1968
抜き打ち,0.0002763144671916,0.0005963161587715,0.0008726306259631,評価特化,4,True,1969
基礎べ,0.0002165543329384,0.0006552065412203,0.0008717608741587,評価特化,3,True,1971
素晴らしい,0.0001911522918625,0.000679909790817,0.0008710620826795,評価特化,5,True,1973
関心,0.0002150932470193,0.000652063351411,0.0008671565984303001,評価特化,2,True,1984
食事,0.0003431993536651,0.0005235755816102,0.0008667749352753,評価特化,2,True,1985
困っ,0.0003053318295213,0.000561368410234,0.0008667002397553,評価特化,2,True,1986
しっかりべ,0.000238869382545,0.0006272576229516,0.0008661270054966,評価特化,5,True,1988
分かれる,0.000142053887248,0.0007232084870338,0.0008652623742818001,評価特化,4,True,1992
客観,0.0002039723098278,0.000660666078329,0.0008646383881568,評価特化,2,True,1994
なさ,0.0002343236572212,0.0006303042173385,0.0008646278745597,評価特化,2,True,1995
男女,0.0003209076821804,0.000542242366534,0.0008631500487144001,評価特化,2,True,2001
記号,0.0003014845916858,0.0005602498467151,0.0008617344384009001,評価特化,2,True,2003
フィールドワーク,0.0002295162528753,0.0006314732134342,0.0008609894663095001,評価特化,8,True,2007
意欲,0.000246133943173,0.0006124743006446,0.0008586082438176001,評価特化,2,True,2018
言い,0.0001553695486939,0.0007020601111909,0.0008574296598848001,評価特化,2,True,2021
個人,0.0001717584140329,0.0006839088108166,0.0008556672248495,評価特化,2,True,2024
ばかり,0.0002137583488708,0.0006418279646074,0.0008555863134782,評価特化,3,True,2025
教え,0.0002359525914838,0.0006189950444596,0.0008549476359433999,評価特化,2,True,2027
自分,0.0002995414140912,0.0005506787771389,0.0008502201912301,評価特化,2,True,2038
行っ,0.0002144040756201,0.000635391074858,0.0008497951504781,評価特化,2,True,2039
つなげる,0.0002659836953336,0.000582991675897,0.0008489753712305999,評価特化,4,True,2042
背景,0.0003233373356171,0.000525567967158,0.0008489053027751,評価特化,2,True,2043
作成,0.0001303925992004,0.0007180069292348,0.0008483995284352,評価特化,2,True,2046
レポートけ,0.0001522507518529,0.0006960506240526,0.0008483013759055,評価特化,5,True,2047
具合,0.0002074118496643,0.0006404868844482,0.0008478987341125,評価特化,2,True,2049
成績,0.0002760488961665,0.0005713401819175,0.000847389078084,評価特化,2,True,2051
把握,0.000306940474917,0.0005384143146257,0.0008453547895427001,評価特化,2,True,2058
大事,0.0002040636178623,0.0006401025410323,0.0008441661588946001,評価特化,2,True,2061
成長,0.000205873666952,0.0006381267060836,0.0008440003730356,評価特化,2,True,2062
CA,0.0001148261129856,0.0007247328758239,0.0008395589888095,評価特化,2,False,2074
コース,0.000170779547521,0.0006681542311395,0.0008389337786605,評価特化,3,True,2076
あて,0.0003095157444477,0.0005293607711791,0.0008388765156268,評価特化,2,True,2077
検討,0.0001734557561576,0.0006649110466241,0.0008383668027817,評価特化,2,True,2078
円滑,0.0002683751723345,0.0005696540807976,0.0008380292531321,評価特化,2,True,2080
カバー,0.000332328180472,0.0005051928261915,0.0008375210066635,評価特化,3,True,2083
うる,0.0001746474632195,0.0006604013698441,0.0008350488330636,評価特化,2,True,2088
ビデオ,0.0001934271505368,0.0006402976411793,0.0008337247917161,評価特化,3,True,2092
マイク,0.0001881210862294,0.0006447321046953,0.0008328531909247,評価特化,3,True,2095
合間,0.0002253394573926,0.0006066851317882,0.0008320245891808,評価特化,2,True,2099
見知り,0.000300133228302,0.0005307719111442,0.0008309051394462,評価特化,3,True,2102
刺激,0.0003109518438577,0.0005199491977691,0.0008309010416268001,評価特化,2,True,2103
こそ,0.0001824015378952,0.0006482228636741,0.0008306244015693,評価特化,2,True,2104
モノ,0.0001962268725037,0.0006319694221019,0.0008281962946056,評価特化,2,True,2115
くる,0.000239889582463,0.0005877405551854,0.0008276301376484,評価特化,2,True,2116
シミュレーション,0.0002211133161416,0.0006049662255323,0.0008260795416739,評価特化,8,True,2119
自由,0.0002858071503314,0.0005392956011223,0.0008251027514537,評価特化,2,True,2122
方面,0.0002998020499944,0.0005252460638682,0.0008250481138626,評価特化,2,True,2123
多かっ,0.0002945050936665,0.0005287781214828,0.0008232832151493,評価特化,3,True,2130
広がっ,0.000309070474223,0.000512876400822,0.000821946875045,評価特化,3,True,2135
始まる,0.0002611279487609,0.0005607927838961,0.000821920732657,評価特化,3,True,2136
ごと,0.0002294121419682,0.000591329478917,0.0008207416208852,評価特化,2,True,2138
ですんな,0.0002682603895664,0.0005499757826328,0.0008182361721992,評価特化,4,True,2145
でき図,0.0001216074451804,0.0006954269483685,0.0008170343935489,評価特化,3,True,2152
あきらめ,0.0001194067299365,0.0006974590942263,0.0008168658241628,評価特化,4,True,2154
気づけ,0.0002115469958101,0.0005993832434926,0.0008109302393027,評価特化,3,True,2174
グラフィックス,0.0001113438047468,0.0006966069340705,0.0008079507388173,評価特化,7,True,2185
撮影,0.0002898648381233,0.0005177706480026,0.0008076354861259001,評価特化,2,True,2187
読み取り,0.0002933419826957,0.000513313545121,0.0008066555278167,評価特化,4,True,2191
せっかく,0.0002547092735767,0.0005518731971581,0.0008065824707348,評価特化,4,True,2193
問題しかっ,0.0001937896013259,0.0006111138142072,0.0008049034155330999,評価特化,5,True,2200
定期,0.0001753786799766,0.0006271262290114,0.000802504908988,評価特化,2,True,2209
PDF,0.000275269926836,0.0005263707910974,0.0008016407179334,評価特化,3,False,2211
プリントっ,0.0002212634739967,0.0005802884697914,0.0008015519437880999,評価特化,5,True,2212
並び替え,0.0002699121832847,0.0005314826965332,0.0008013948798179,評価特化,4,True,2213
再生,0.0001837467508656,0.0006176009774208,0.0008013477282863999,評価特化,2,True,2214
FIT,0.0001315333647653,0.0006681038066744,0.0007996371714397,評価特化,3,False,2218
コア,0.0001313566333717,0.0006669883926709,0.0007983450260426,評価特化,2,True,2221
少し気,0.0001934710890054,0.0006027072668075,0.0007961783558129,評価特化,3,True,2228
慣れる,0.0002506415387897,0.0005436756394126,0.0007943171782023,評価特化,3,True,2235
実習,0.0001673236090157,0.0006268985037292,0.0007942221127449,評価特化,2,True,2236
予想,0.0002161995507776,0.0005736807361245,0.0007898802869021,評価特化,2,True,2250
まし板,0.0002813082602288,0.0005073795715967,0.0007886878318254999,評価特化,3,True,2251
用い,0.0001998846652885,0.0005878367421709,0.0007877214074594,評価特化,2,True,2257
発電,0.0001902761006796,0.0005967981285519,0.0007870742292315,評価特化,2,True,2260
汚染,0.0001415304839611,0.000644713640213,0.0007862441241741,評価特化,2,True,2262
起業,0.0001614272594451,0.0006247460842132,0.0007861733436583,評価特化,2,True,2263
イディオム,0.0002595748752355,0.0005243733525276,0.0007839482277631,評価特化,5,True,2270
取り,0.0002102034249857,0.0005693563830051,0.0007795598079908,評価特化,2,True,2282
話題,0.0001535843367929,0.00062538517846,0.0007789695152529,評価特化,2,True,2285
挑む,0.0002481251955032,0.0005291733890771,0.0007772985845803,評価特化,2,True,2293
電流,0.0001800673849442,0.0005971657879212,0.0007772331728654001,評価特化,2,True,2294
ノートす,0.0002085225035746,0.0005670910080273,0.0007756135116019,評価特化,4,True,2299
残っ,0.0002205122794423,0.0005544264401708,0.0007749387196131,評価特化,2,True,2301
ハングル,0.0002380065619945,0.0005359143018722,0.0007739208638667001,評価特化,4,True,2305
いろんなけ,0.00024950876832,0.0005230903625488,0.0007725991308688001,評価特化,5,True,2306
位置,0.0002441065385937,0.0005255952477455,0.0007697017863392,評価特化,2,True,2316
特徴,0.000165061493005,0.0006039066328888,0.0007689681258938,評価特化,2,True,2319
都合,0.0001071575615141,0.0006605055597093,0.0007676631212234,評価特化,2,True,2324
利用,0.0001178028372426,0.0006493241138135,0.0007671269510561,評価特化,2,True,2325
たい,0.0001450422138387,0.0006205293783394,0.0007655715921781,評価特化,2,True,2329
まで習,0.0002438032792674,0.0005215265684657,0.0007653298477331,評価特化,3,True,2332
資源,0.0002450870556963,0.0005191850165526,0.0007642720722489001,評価特化,2,True,2336
こと題,0.0001544191368988,0.0006075820752552,0.0007620012121540001,評価特化,3,True,2342
止め,0.0002337627645049,0.0005277573530163,0.0007615201175212,評価特化,2,True,2344
やすい習,0.0001008603721857,0.0006605269653456,0.0007613873375313001,評価特化,4,True,2345
複雑,0.0002470435903352,0.0005095897790263,0.0007566333693615,評価特化,2,True,2357
データ,0.0002031522530196,0.000551541533434,0.0007546937864536,評価特化,3,True,2360
行え,0.0002067114040255,0.0005461847782135,0.000752896182239,評価特化,2,True,2366
先生,0.0001424845417855,0.0006103339601247,0.0007528185019102,評価特化,2,True,2368
使わ,0.000210836573049,0.0005416652664195,0.0007525018394685001,評価特化,2,True,2369
紹介,0.0002433427526981,0.0005067740625972,0.0007501168152952999,評価特化,2,True,2376
for,0.0002135095496972,0.0005352050065994,0.0007487145562966001,評価特化,3,False,2382
精度,0.0002469196915626,0.000501649081707,0.0007485687732696,評価特化,2,True,2384
関わら,0.0002438093225161,0.000503371655941,0.0007471809784571,評価特化,3,True,2393
概ね,0.0001944719503323,0.0005526058375835,0.0007470777879158001,評価特化,2,True,2394
実装,0.0002237528562545,0.0005224123597145,0.0007461652159690001,評価特化,2,True,2399
ポスター,0.0001752164892174,0.0005707032978534,0.0007459197870708001,評価特化,4,True,2400
載せ,0.0001878600567579,0.0005570419132709,0.0007449019700288,評価特化,2,True,2401
テクニック,0.0002229412396748,0.0005213854213555,0.0007443266610303001,評価特化,5,True,2403
そう,0.0002066986760617,0.0005348533926523,0.0007415520687139999,評価特化,2,True,2408
レベル,0.0001633744021611,0.0005772833579352,0.0007406577600963,評価特化,3,True,2409
下さい習,0.0001142248511314,0.000618527829647,0.0007327526807783999,評価特化,4,True,2428
聞き,0.000179798768486,0.0005522846891465,0.0007320834576325,評価特化,2,True,2429
配慮,0.0002058230792031,0.0005259738501274,0.0007317969293305,評価特化,2,True,2431
なさい,0.0001443785925706,0.0005864277482032,0.0007308063407738,評価特化,3,True,2434
もらえるしい,0.0001647278666496,0.0005652785301208,0.0007300063967704,評価特化,6,True,2437
まし記,0.0001843149463335,0.0005448187390963,0.0007291336854298,評価特化,3,True,2438
スムーズ,0.0001747010275721,0.0005540835609038,0.0007287845884759,評価特化,4,True,2440
定義,0.0001729079071552,0.0005544245002731,0.0007273324074283001,評価特化,2,True,2444
まとも,0.0001892714450756,0.0005371781686941,0.0007264496137696999,評価特化,3,True,2448
まし図,0.0001235051701466,0.0006007986764113,0.0007243038465579,評価特化,3,True,2452
実施,0.0001803224863992,0.0005410538816993,0.0007213763680985001,評価特化,2,True,2462
統一,0.0001217004130868,0.0005980366293121,0.0007197370423989,評価特化,2,True,2469
技能,0.0001583149922745,0.000558318304164,0.0007166332964385,評価特化,2,True,2476
工夫,0.0002114566262154,0.0005040275590384,0.0007154841852538,評価特化,2,True,2480
ペースかっ,0.0001391243810455,0.0005761596063772,0.0007152839874227,評価特化,5,True,2481
プラン,0.0002045415341854,0.0005102127790451,0.0007147543132305001,評価特化,3,True,2483
間違え,0.0002008722621505,0.000510830116474,0.0007117023786245001,評価特化,3,True,2489
行け,0.0002054862776084,0.0005002776651005,0.0007057639427089,評価特化,2,True,2511
扱わ,0.0001979162069884,0.0005077672275629,0.0007056834345512999,評価特化,2,True,2512
非常かり,0.00019386756633,0.0005102636558668,0.0007041312221968,評価特化,4,True,2515
ホワイトボード,0.0001924599592502,0.0005059104699354,0.0006983704291856,評価特化,7,True,2533
問い,0.0001500852406024,0.0005456820130348,0.0006957672536372,評価特化,2,True,2542
悪かっ,0.0001755401492118,0.0005022287368774,0.0006777688860892,評価特化,3,True,2587
MySQL,0.0001763381063938,0.000501362979412,0.0006777010858057999,評価特化,5,False,2588
通知,0.0001649163663387,0.0005091801285743,0.000674096494913,評価特化,2,True,2596
参照,0.0001347777433693,0.0005365624092519,0.0006713401526212,評価特化,2,True,2603
課題し,0.0001316921164592,0.0005370266735553,0.0006687187900145,評価特化,3,True,2611
プリントら,0.0001319806490625,0.000516405063016,0.0006483857120785,評価特化,5,True,2660
楽しい,0.0001176406746823,0.0005243719716575,0.0006420126463398,評価特化,3,True,2676
趣味,0.0001156397163867,0.0005118831992149,0.0006275229156016,評価特化,2,True,2704
田村,9.358227252960203e-05,0.0005302354693412,0.000623817741870802,評価特化,2,True,2712
指数,0.0001183494925498,0.0005052790045738,0.0006236284971236,評価特化,2,True,2714
授業け,0.0001028701663017,0.0005158164671489,0.0006186866334505999,評価特化,3,True,2724
指向,0.000103822350502,0.0005023797353108,0.0006062020858128,評価特化,2,True,2749
ランダム,6.474607757159642e-05,0.0005232021212577,0.0005879481988292965,評価特化,4,True,2793
