word,importance
 圏,0.000538528933248017
 高圧,0.0005329390949234093
無,0.00041008659536601044
 句,0.0003872167071676813
 慣用,0.0003872167071676813
唱,0.0003800076592597179
 拒否,0.0003646445766207762
 見下,0.00033627188531681895
 ヵ月,0.00032824928348418325
妙,0.0003005866874445928
 出典,0.00029686932612094097
 要請,0.00027845511795021594
 拠点,0.00027328495343681425
 佐竹,0.000268980418695719
 妄想,0.0002650982150953496
 要人,0.0002613412325445097
プス,0.0002501026464437373
 シナ,0.0002501026464437373
 GHQ,0.00024659525297465734
 エレクトロニクス,0.00024339654546787554
 早朝,0.00024035992828430608
 殴り,0.00023369124573946465
 博文,0.00022220084065338597
ボ,0.00021736329654231668
 はま,0.00021268593263812363
 硬,0.00021166847873246297
 帝国,0.00020846777624683455
 臭,0.00020728318122564815
 空港,0.00020081201910215896
 偏見,0.0002002627626700333
 識別,0.00019917335521313362
os,0.0001991684489439649
 不定,0.00019517309510774794
 便器,0.0001935641389536613
 ダイエット,0.00019156438133904885
江,0.00019062300270888954
 兆,0.00019062300270888954
民,0.00019062300270888954
 歌詞,0.00018813893170802174
ソン,0.0001857704615766491
谷,0.00018557041039457545
 准,0.00018557041039457545
 メディア,0.00018472841572613583
 抗議,0.00018327886111061767
 スペース,0.0001811455931601813
 協定,0.00017990924698096933
 京都,0.00017990924698096933
 モントリオール,0.00017990924698096933
 リサイクル,0.00017918111542063306
 精錬,0.00017918111542063306
 改,0.00017691416724119335
 封じ,0.00017691416724119335
憲,0.00017691416724119335
閲,0.00017691416724119335
Q,0.00017567092572789988
 BB,0.00017567092572789988
 編入,0.000173935606426312
 磁気,0.00017084615592466434
 オブジェクト,0.00017079987205848878
 掴み,0.00017048335629751623
 トーク,0.00017037948600773234
 はじめる,0.0001696449533509801
 政府,0.000166447911681189
 馴染み,0.00016407759478146173
 国民,0.00016362728752847242
 呼び,0.00016140415024077715
起こ,0.00016140415024077715
ロック,0.00016058189423526418
 議定,0.0001604035542186466
プル,0.00016038215289881919
 濃度,0.00015908545901766047
 溶液,0.00015908545901766047
 チームメイト,0.00015623327089997474
 寒,0.0001540846841464264
 勢,0.00015330492260545725
 薄い,0.0001524839087020761
 ナノ,0.00015231983161356766
 マテ,0.00015231983161356766
 指,0.00015120658020952035
 儲け,0.00015113717799977166
 台,0.00014872554295218237
わう,0.0001486927576479502
熟,0.00014758267683115243
 Ph,0.00014756601378489972
ヒル,0.00014557176223206625
 登山,0.0001447713172334867
 Open,0.0001445478959105962
 水質,0.00014389017451321706
 恋人,0.00014381528785634146
当たり,0.0001436543448107841
輩,0.00014319326510303654
 気体,0.00014306501725513954
3,0.00014263852244766895
 結ん,0.00014089786145632388
 伴い,0.00014085336442803964
 bl,0.00014064759488974232
ender,0.00014064759488974232
 動詞,0.00014007332015353313
 名詞,0.00014007332015353313
 すっかり,0.00013877032142772805
