word,importance
 圏,0.000538528933248017
 高圧,0.0005329390949234093
無,0.00041008659536601044
 句,0.0003872167071676813
 慣用,0.0003872167071676813
唱,0.0003800076592597179
 拒否,0.0003646445766207762
 見下,0.00033627188531681895
 ヵ月,0.00032824928348418325
妙,0.0003005866874445928
 出典,0.00029686932612094097
 要請,0.00027845511795021594
 拠点,0.00027328495343681425
 佐竹,0.000268980418695719
 妄想,0.0002650982150953496
 要人,0.0002613412325445097
プス,0.0002501026464437373
 シナ,0.0002501026464437373
 GHQ,0.00024659525297465734
 エレクトロニクス,0.00024339654546787554
 早朝,0.00024035992828430608
 殴り,0.00023369124573946465
 博文,0.00022220084065338597
ボ,0.00021736329654231668
 はま,0.00021268593263812363
 硬,0.00021166847873246297
 帝国,0.00020846777624683455
 臭,0.00020728318122564815
 空港,0.00020081201910215896
 偏見,0.0002002627626700333
 識別,0.00019917335521313362
os,0.0001991684489439649
 不定,0.00019517309510774794
 便器,0.0001935641389536613
 ダイエット,0.00019156438133904885
江,0.00019062300270888954
 兆,0.00019062300270888954
民,0.00019062300270888954
 歌詞,0.00018813893170802174
ソン,0.0001857704615766491
谷,0.00018557041039457545
 准,0.00018557041039457545
 メディア,0.00018472841572613583
 抗議,0.00018327886111061767
 スペース,0.0001811455931601813
 協定,0.00017990924698096933
 京都,0.00017990924698096933
 モントリオール,0.00017990924698096933
 リサイクル,0.00017918111542063306
 精錬,0.00017918111542063306
 改,0.00017691416724119335
 封じ,0.00017691416724119335
憲,0.00017691416724119335
閲,0.00017691416724119335
Q,0.00017567092572789988
 BB,0.00017567092572789988
 編入,0.000173935606426312
 磁気,0.00017084615592466434
 オブジェクト,0.00017079987205848878
 掴み,0.00017048335629751623
 トーク,0.00017037948600773234
 はじめる,0.0001696449533509801
 政府,0.000166447911681189
 馴染み,0.00016407759478146173
 国民,0.00016362728752847242
 呼び,0.00016140415024077715
起こ,0.00016140415024077715
ロック,0.00016058189423526418
 議定,0.0001604035542186466
プル,0.00016038215289881919
 濃度,0.00015908545901766047
 溶液,0.00015908545901766047
 チームメイト,0.00015623327089997474
 寒,0.0001540846841464264
 勢,0.00015330492260545725
 薄い,0.0001524839087020761
 ナノ,0.00015231983161356766
 マテ,0.00015231983161356766
 指,0.00015120658020952035
 儲け,0.00015113717799977166
 台,0.00014872554295218237
わう,0.0001486927576479502
熟,0.00014758267683115243
 Ph,0.00014756601378489972
ヒル,0.00014557176223206625
 登山,0.0001447713172334867
 Open,0.0001445478959105962
 水質,0.00014389017451321706
 恋人,0.00014381528785634146
当たり,0.0001436543448107841
輩,0.00014319326510303654
 気体,0.00014306501725513954
3,0.00014263852244766895
 結ん,0.00014089786145632388
 伴い,0.00014085336442803964
 bl,0.00014064759488974232
ender,0.00014064759488974232
 動詞,0.00014007332015353313
 名詞,0.00014007332015353313
 すっかり,0.00013877032142772805
 わざわざ,0.00013819880983652447
 北島,0.0001377226060412795
 密,0.00013751582173426868
恋,0.0001347781590084196
 松,0.00013419539027381688
 カッ,0.0001332103493234355
 回す,0.00013245715017666374
 休養,0.0001317942987952847
虐,0.00013093964025756577
 地層,0.00013054328974249074
 ワイヤー,0.0001298350135812143
 検出,0.00012923046598808317
ナール,0.0001290574168706371
 部類,0.00012842865703698847
 写像,0.00012810239240934607
測,0.00012754893396049738
 間近,0.00012746133370455937
 赤い,0.00012577408779179677
 岡,0.00012454286939721308
 陸上,0.00012317910477577243
のり,0.0001221018555952469
 施,0.000121703418699326
 器,0.00012114206424485019
 年末,0.00012086146480214666
 You,0.00012047935126616735
 バブル,0.00012040189358231146
 細部,0.0001202907577626368
 辻,0.00012019780569971772
 月曜,0.00012017996456787397
 サクラ,0.00012003684969386086
 エディ,0.00011967878526775166
 躍,0.00011937529234273825
 野,0.00011922321027668659
 定,0.00011899969854312076
 Can,0.00011756972507367567
抱,0.00011603056304920756
 実戦,0.00011572464245546144
 やす,0.00011569510160193265
 ロール,0.00011556849335647712
 強める,0.00011539308889041422
蔭,0.00011515385995153338
 陥る,0.000114667914203892
 神経,0.00011436504246375989
尽,0.0001143003316151624
 指向,0.00011323940996951419
 管内,0.00011286678454780485
 対数,0.00011280931767032598
 安く,0.00011171166642016119
VA,0.00011167886913720013
 JA,0.00011167886913720013
 位,0.00011160176768498786
 きの,0.00011157109202031279
ic,0.00011125648150977455
 伊藤,0.00011110042464679282
 線路,0.0001109902609641722
 見つから,0.0001109707427531248
がれ,0.0001107846292143222
 侵害,0.00011037284502890543
 セキュリティ,0.00010970168749483615
アウト,0.0001092619240807835
 はさん,0.0001089076031348668
 偉業,0.00010887541793636046
ライ,0.00010868164872590569
着く,0.00010791959107336879
スト,0.00010784911501104943
 ヒ,0.00010784911501104943
 迷い,0.00010769061401560975
 すぎる,0.00010762810595992342
 前者,0.00010732102985327531
 渡,0.00010731389920692891
邉,0.00010731389920692891
 原点,0.00010725319157245394
 混,0.0001072480305023064
 楽し,0.00010720287248353718
 嫌,0.00010706590443243817
狼,0.00010706365446822019
 農薬,0.00010686207315302454
 序,0.000106589672211208
 ソング,0.00010604411272652214
 英国,0.00010568716811576451
 直線,0.00010558114445302635
 テープ,0.00010421652768854983
 終始,0.00010394313312644954
 向かう,0.00010307229058525991
 集約,0.00010280181686539436
 著しく,0.00010243168071610853
 5000,0.00010126493361894973
ux,0.00010109186534412723
 名乗る,0.0001010293822218955
バンス,0.00010095903289766283
 言い換え,0.00010094999106513569
 ノ,0.00010091780518450832
 回避,0.0001006459944164969
 重なる,0.00010050448508991394
かっ,0.00010045808252001679
